"CAND_ID","CAND_ELECTION_YR","FEC_ELECTION_YR","CMTE_ID","CMTE_TP","CMTE_DSGN","LINKAGE_ID","robin_id","display_name","source","target","type","id","dataset","dataset_id","name"
"H0PA14120","2020","2020","C00716852","H","P","229161","1583206034202432910","H0PA14120","H0PA14120","C00716852",,"229161","fec","229161","H0PA14120"
"H0PA14138","2020","2020","C00736504","H","P","231902","1583206034202775971","H0PA14138","H0PA14138","C00736504",,"231902","fec","231902","H0PA14138"
"H0PA16026","2020","2020","C00704262","H","P","227516","1583206034202610868","H0PA16026","H0PA16026","C00704262",,"227516","fec","227516","H0PA16026"
"H0PA16034","2020","2020","C00722314","H","P","229977","1583206034202831748","H0PA16034","H0PA16034","C00722314",,"229977","fec","229977","H0PA16034"
"H0PA16042","2020","2020","C00724096","H","P","230255","1583206034202640260","H0PA16042","H0PA16042","C00724096",,"230255","fec","230255","H0PA16042"
"H0PA16059","2020","2020","C00730960","H","P","232102","1583206034202682791","H0PA16059","H0PA16059","C00730960",,"232102","fec","232102","H0PA16059"
"H0PA16067","2020","2020","C00735381","H","P","231731","1583206034202791405","H0PA16067","H0PA16067","C00735381",,"231731","fec","231731","H0PA16067"
"H0PA16067","2020","2020","C00735399","H","P","231732","1583206034202370878","H0PA16067","H0PA16067","C00735399",,"231732","fec","231732","H0PA16067"
"H0PA17099","2020","2020","C00701086","H","P","226971","1583206034202319525","H0PA17099","H0PA17099","C00701086",,"226971","fec","226971","H0PA17099"
"H0PA17107","2020","2020","C00721894","H","P","229954","1583206034202692670","H0PA17107","H0PA17107","C00721894",,"229954","fec","229954","H0PA17107"
"H0PA17115","2020","2020","C00724914","H","P","230348","1583206034202439794","H0PA17115","H0PA17115","C00724914",,"230348","fec","230348","H0PA17115"
"H0PA17123","2020","2020","C00735720","H","P","231778","1583206034202991649","H0PA17123","H0PA17123","C00735720",,"231778","fec","231778","H0PA17123"
"H0PA18089","2020","2020","C00696518","H","P","227629","1583206034202839143","H0PA18089","H0PA18089","C00696518",,"227629","fec","227629","H0PA18089"
"H0PA18089","2019","2020","C00696518","H","P","225845","1583206034202323535","H0PA18089","H0PA18089","C00696518",,"225845","fec","225845","H0PA18089"
"H0PA18097","2020","2020","C00701847","H","P","227122","1583206034202733029","H0PA18097","H0PA18097","C00701847",,"227122","fec","227122","H0PA18097"
"H0PA18113","2020","2020","C00735852","H","P","231758","1583206034202275584","H0PA18113","H0PA18113","C00735852",,"231758","fec","231758","H0PA18113"
"H0PR00051","2000","2020","C00344390","H","P","222311","1583206034202852218","H0PR00051","H0PR00051","C00344390",,"222311","fec","222311","H0PR00051"
"H0PR01018","2020","2020","C00706952","H","P","227866","158320603420299926","H0PR01018","H0PR01018","C00706952",,"227866","fec","227866","H0PR01018"
"H0PR01026","2020","2020","C00700476","H","P","231759","1583206034203851623","H0PR01026","H0PR01026","C00700476",,"231759","fec","231759","H0PR01026"
"H0PR01034","2020","2020","C00738856","H","P","232259","1583206034203424790","H0PR01034","H0PR01034","C00738856",,"232259","fec","232259","H0PR01034"
"H0RI01073","2020","2020","C00476564","H","P","222684","1583206034204783828","H0RI01073","H0RI01073","C00476564",,"222684","fec","222684","H0RI01073"
"H0RI01081","2010","2020","C00477190","H","P","222682","1583206034204329862","H0RI01081","H0RI01081","C00477190",,"222682","fec","222682","H0RI01081"
"H0RI02139","2020","2020","C00344697","H","P","222314","1583206034204911855","H0RI02139","H0RI02139","C00344697",,"222314","fec","222314","H0RI02139"
"H0RI02287","2020","2020","C00738302","H","P","232206","1583206034204567283","H0RI02287","H0RI02287","C00738302",,"232206","fec","232206","H0RI02287"
"H0SC01071","2010","2020","C00341529","H","P","222338","1583206034204922362","H0SC01071","H0SC01071","C00341529",,"222338","fec","222338","H0SC01071"
"H0SC01360","2020","2020","C00693630","H","P","225639","1583206034204636801","H0SC01360","H0SC01360","C00693630",,"225639","fec","225639","H0SC01360"
"H0SC01378","2020","2020","C00707133","H","P","227948","1583206034204127971","H0SC01378","H0SC01378","C00707133",,"227948","fec","227948","H0SC01378"
"H0SC01386","2020","2020","C00708875","H","P","228072","1583206034204238651","H0SC01386","H0SC01386","C00708875",,"228072","fec","228072","H0SC01386"
"H0SC01394","2020","2020","C00710103","H","P","228221","158320603420483634","H0SC01394","H0SC01394","C00710103",,"228221","fec","228221","H0SC01394"
"H0SC01402","2020","2020","C00711390","H","P","228449","1583206034204633494","H0SC01402","H0SC01402","C00711390",,"228449","fec","228449","H0SC01402"
"H0SC01410","2020","2020","C00712471","H","P","228656","158320603420450018","H0SC01410","H0SC01410","C00712471",,"228656","fec","228656","H0SC01410"
